coding	meaning
116	ANG;Angiogenin
117	ANGPT1;Angiopoietin-1
118	ANGPT2;Angiopoietin-2
119	ANGPTL1;Angiopoietin-related protein 1
120	ANGPTL2;Angiopoietin-related protein 2
121	ANGPTL3;Angiopoietin-related protein 3
122	ANGPTL4;Angiopoietin-related protein 4
123	ANGPTL7;Angiopoietin-related protein 7
124	ANK2;Ankyrin-2
125	ANKMY2;Ankyrin repeat and MYND domain-containing protein 2
126	ANKRA2;Ankyrin repeat family A protein 2
127	ANKRD54;Ankyrin repeat domain-containing protein 54
128	ANP32C;Acidic leucine-rich nuclear phosphoprotein 32 family member C
129	ANPEP;Aminopeptidase N
130	ANXA1;Annexin A1
131	ANXA10;Annexin A10
132	ANXA11;Annexin A11
133	ANXA2;Annexin A2
134	ANXA3;Annexin A3
135	ANXA4;Annexin A4
136	ANXA5;Annexin A5
137	AOC1;Amiloride-sensitive amine oxidase [copper-containing]
138	AOC3;Membrane primary amine oxidase
139	AP1G2;AP-1 complex subunit gamma-like 2
140	AP2B1;AP-2 complex subunit beta
141	AP3B1;AP-3 complex subunit beta-1
142	AP3S2;AP-3 complex subunit sigma-2
143	APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
144	APCS;Serum amyloid P-component
145	APEX1;DNA-(apurinic or apyrimidinic site) endonuclease
146	APLP1;Amyloid-like protein 1
147	APOA1;Apolipoprotein A-I
148	APOA2;Apolipoprotein A-II
149	APOA4;Apolipoprotein A-IV
150	APOB;Apolipoprotein B-100
151	APOBR;Apolipoprotein B receptor
152	APOC1;Apolipoprotein C-I
153	APOD;Apolipoprotein D
154	APOE;Apolipoprotein E
155	APOF;Apolipoprotein F
156	APOH;Beta-2-glycoprotein 1
157	APOL1;Apolipoprotein L1
158	APOM;Apolipoprotein M
159	APP;Amyloid-beta precursor protein
160	APPL2;DCC-interacting protein 13-beta
161	APRT;Adenine phosphoribosyltransferase
162	ARAF;Serine/threonine-protein kinase A-Raf
163	AREG;Amphiregulin
164	ARF6;ADP-ribosylation factor 6
165	ARFIP1;Arfaptin-1
166	ARG1;Arginase-1
167	ARG2;Arginase-2, mitochondrial
168	ARHGAP1;Rho GTPase-activating protein 1
169	ARHGAP25;Rho GTPase-activating protein 25
170	ARHGAP30;Rho GTPase-activating protein 30
171	ARHGAP45;Rho GTPase-activating protein 45
172	ARHGAP5;Rho GTPase-activating protein 5
173	ARHGEF1;Rho guanine nucleotide exchange factor 1
174	ARHGEF10;Rho guanine nucleotide exchange factor 10
175	ARHGEF12;Rho guanine nucleotide exchange factor 12
176	ARHGEF5;Rho guanine nucleotide exchange factor 5
177	ARID3A;AT-rich interactive domain-containing protein 3A
178	ARID4B;AT-rich interactive domain-containing protein 4B
179	ARL13B;ADP-ribosylation factor-like protein 13B
180	ARL2BP;ADP-ribosylation factor-like protein 2-binding protein
181	ARMCX2;Armadillo repeat-containing X-linked protein 2
182	ARNT;Aryl hydrocarbon receptor nuclear translocator
183	ARNTL;Aryl hydrocarbon receptor nuclear translocator-like protein 1
184	ARSA;Arylsulfatase A
185	ARSB;Arylsulfatase B
186	ART3;Ecto-ADP-ribosyltransferase 3
187	ART5;Ecto-ADP-ribosyltransferase 5
188	ARTN;Artemin
189	ASAH1;Acid ceramidase
190	ASAH2;Neutral ceramidase
191	ASGR1;Asialoglycoprotein receptor 1
192	ASGR2;Asialoglycoprotein receptor 2
193	ASPN;Asporin
194	ASPSCR1;Tether containing UBX domain for GLUT4
195	ASRGL1;Isoaspartyl peptidase/L-asparaginase
196	ASS1;Argininosuccinate synthase
197	ATF2;Cyclic AMP-dependent transcription factor ATF-2
198	ATF4;Cyclic AMP-dependent transcription factor ATF-4
199	ATG16L1;Autophagy-related protein 16-1
200	ATG4A;Cysteine protease ATG4A
201	ATOX1;Copper transport protein ATOX1
202	ATP1B1;Sodium/potassium-transporting ATPase subunit beta-1
203	ATP1B2;Sodium/potassium-transporting ATPase subunit beta-2
204	ATP1B3;Sodium/potassium-transporting ATPase subunit beta-3
205	ATP1B4;Protein ATP1B4
206	ATP2B4;Plasma membrane calcium-transporting ATPase 4
207	ATP5F1D;ATP synthase subunit delta, mitochondrial
208	ATP5IF1;ATPase inhibitor, mitochondrial
209	ATP5PO;ATP synthase subunit O, mitochondrial
210	ATP6AP2;Renin receptor
211	ATP6V1D;V-type proton ATPase subunit D
212	ATP6V1F;V-type proton ATPase subunit F
213	ATP6V1G1;V-type proton ATPase subunit G 1
214	ATP6V1G2;V-type proton ATPase subunit G 2
215	ATRAID;All-trans retinoic acid-induced differentiation factor
216	ATRN;Attractin, Isoform 2
217	ATXN10;Ataxin-10
218	ATXN2;Ataxin-2
219	ATXN2L;Ataxin-2-like protein
220	ATXN3;Ataxin-3
221	AXIN1;Axin-1
222	AXL;Tyrosine-protein kinase receptor UFO
223	AZI2;5-azacytidine-induced protein 2
224	AZU1;Azurocidin
225	B2M;Beta-2-microglobulin
226	B3GAT3;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
227	B3GNT7;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
228	B4GALT1;Beta-1,4-galactosyltransferase 1
229	B4GAT1;Beta-1,4-glucuronyltransferase 1
230	BABAM1;BRISC and BRCA1-A complex member 1
231	BACH1;Transcription regulator protein BACH1
232	BAG3;BAG family molecular chaperone regulator 3
233	BAG4;BAG family molecular chaperone regulator 4
234	BAG6;Large proline-rich protein BAG6
235	BAIAP2;Brain-specific angiogenesis inhibitor 1-associated protein 2
236	BAMBI;BMP and activin membrane-bound inhibitor homolog
237	BANK1;B-cell scaffold protein with ankyrin repeats
238	BAP18;Chromatin complexes subunit BAP18
239	BATF;Basic leucine zipper transcriptional factor ATF-like
240	BAX;Apoptosis regulator BAX
241	BCAM;Basal cell adhesion molecule
242	BCAN;Brevican core protein
243	BCAT1;Branched-chain-amino-acid aminotransferase, cytosolic
244	BCAT2;Branched-chain-amino-acid aminotransferase, mitochondrial
245	BCHE;Cholinesterase
246	BCL2;Apoptosis regulator Bcl-2
247	BCL2L1;Bcl-2-like protein 1
248	BCL2L11;Bcl-2-like protein 11, Isoform BimL 
249	BCL2L15;Bcl-2-like protein 15
250	BCL7A;B-cell CLL/lymphoma 7 protein family member A
251	BCL7B;B-cell CLL/lymphoma 7 protein family member B
252	BCR;Breakpoint cluster region protein
253	BDNF;Brain-derived neurotrophic factor
254	BECN1;Beclin-1
255	BEX3;Protein BEX3
256	BGLAP;Osteocalcin
257	BGN;Biglycan
258	BHLHE40;Class E basic helix-loop-helix protein 40
259	BHMT2;S-methylmethionine--homocysteine S-methyltransferase BHMT2
260	BID;BH3-interacting domain death agonist
261	BIN2;Bridging integrator 2
262	BIRC2;Baculoviral IAP repeat-containing protein 2
263	BLMH;Bleomycin hydrolase
264	BLNK;B-cell linker protein
265	BLOC1S2;Biogenesis of lysosome-related organelles complex 1 subunit 2
266	BLOC1S3;Biogenesis of lysosome-related organelles complex 1 subunit 3
267	BLVRB;Flavin reductase
268	BMP10;Bone morphogenetic protein 10
269	BMP4;Bone morphogenetic protein 4
270	BMP6;Bone morphogenetic protein 6
271	BMPER;BMP-binding endothelial regulator protein
272	BNIP2;BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
273	BNIP3L;BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
274	BOC;Brother of CDO
275	BOLA1;BolA-like protein 1
276	BOLA2_BOLA2B;BolA-like protein 2
277	BPIFA2;BPI fold-containing family A member 2
278	BPIFB1;BPI fold-containing family B member 1
279	BPIFB2;BPI fold-containing family B member 2
280	BRAP;BRCA1-associated protein
281	BRD1;Bromodomain-containing protein 1
282	BRD2;Bromodomain-containing protein 2
283	BRD3;Bromodomain-containing protein 3
284	BRDT;Bromodomain testis-specific protein
285	BRK1;Protein BRICK1
286	BRME1;Break repair meiotic recombinase recruitment factor 1
287	BRSK2;Serine/threonine-protein kinase BRSK2
288	BSG;Basigin
289	BSND;Barttin
290	BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
291	BST2;Bone marrow stromal antigen 2
292	BTC;Probetacellulin
293	BTD;Biotinidase
294	BTLA;B- and T-lymphocyte attenuator
295	BTN1A1;Butyrophilin subfamily 1 member A1
296	BTN2A1;Butyrophilin subfamily 2 member A1
297	BTN3A2;Butyrophilin subfamily 3 member A2
298	BTNL10;Butyrophilin-like protein 10
299	C19orf12;Protein C19orf12
300	C1GALT1C1;C1GALT1-specific chaperone 1
301	C1QA;Complement C1q subcomponent subunit A
302	C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial
303	C1QL2;Complement C1q-like protein 2
304	C1QTNF1;Complement C1q tumor necrosis factor-related protein 1
305	C1QTNF5;Complement C1q tumor necrosis factor-related protein 5
306	C1QTNF6;Complement C1q tumor necrosis factor-related protein 6
307	C1QTNF9;Complement C1q and tumor necrosis factor-related protein 9A
308	C1R;Complement C1r subcomponent
309	C1RL;Complement C1r subcomponent-like protein
310	C1S;Complement C1s subcomponent
311	C2;Complement C2
312	C2CD2L;Phospholipid transfer protein C2CD2L
313	C2orf69;UPF0565 protein C2orf69
314	C3;Complement C3
315	C4BPB;C4b-binding protein beta chain
316	C5;Complement C5
317	C7;Complement component C7
318	C7orf50;Uncharacterized protein C7orf50
319	C8B;Complement component C8 beta chain
320	C9;Complement component C9
321	C9orf40;Uncharacterized protein C9orf40
322	CA1;Carbonic anhydrase 1
323	CA11;Carbonic anhydrase-related protein 11
324	CA12;Carbonic anhydrase 12
325	CA13;Carbonic anhydrase 13
326	CA14;Carbonic anhydrase 14
327	CA2;Carbonic anhydrase 2
328	CA3;Carbonic anhydrase 3
329	CA4;Carbonic anhydrase 4
330	CA5A;Carbonic anhydrase 5A, mitochondrial
331	CA6;Carbonic anhydrase 6
332	CA7;Carbonic anhydrase 7
333	CA8;Carbonic anhydrase-related protein
334	CA9;Carbonic anhydrase 9
335	CABP2;Calcium-binding protein 2
336	CACNA1C;Voltage-dependent L-type calcium channel subunit alpha-1C
337	CACNA1H;Voltage-dependent T-type calcium channel subunit alpha-1H
338	CACNB1;Voltage-dependent L-type calcium channel subunit beta-1
339	CACNB3;Voltage-dependent L-type calcium channel subunit beta-3
340	CACYBP;Calcyclin-binding protein
341	CADPS;Calcium-dependent secretion activator 1
342	CALB1;Calbindin
343	CALB2;Calretinin
344	CALCA;Calcitonin
345	CALCB;Calcitonin gene-related peptide 2
346	CALCOCO1;Calcium-binding and coiled-coil domain-containing protein 1
347	CALCOCO2;Calcium-binding and coiled-coil domain-containing protein 2
348	CALY;Neuron-specific vesicular protein calcyon
349	CAMKK1;Calcium/calmodulin-dependent protein kinase kinase 1
350	CAMLG;Guided entry of tail-anchored proteins factor CAMLG
351	CAMSAP1;Calmodulin-regulated spectrin-associated protein 1
352	CANT1;Soluble calcium-activated nucleotidase 1
353	CAPG;Macrophage-capping protein
354	CAPN3;Calpain-3
355	CAPS;Calcyphosin
356	CARHSP1;Calcium-regulated heat-stable protein 1
357	CASC3;Protein CASC3
358	CASP1;Caspase-1
359	CASP10;Caspase-10
360	CASP2;Caspase-2
361	CASP3;Caspase-3
362	CASP4;Caspase-4
363	CASP7;Caspase-7
364	CASP8;Caspase-8
365	CASP9;Caspase-9
366	CASQ2;Calsequestrin-2
367	CAT;Catalase
368	CBLIF;Cobalamin binding intrinsic factor
369	CBLN1;Cerebellin-1
370	CBLN4;Cerebellin-4
371	CBS;Cystathionine beta-synthase
372	CBX2;Chromobox protein homolog 2
373	CC2D1A;Coiled-coil and C2 domain-containing protein 1A
374	CCAR2;Cell cycle and apoptosis regulator protein 2
375	CCDC134;Coiled-coil domain-containing protein 134
376	CCDC28A;Coiled-coil domain-containing protein 28A
377	CCDC50;Coiled-coil domain-containing protein 50
378	CCDC80;Coiled-coil domain-containing protein 80
379	CCER2;Coiled-coil domain-containing glutamate-rich protein 2
380	CCL11;Eotaxin
381	CCL13;C-C motif chemokine 13
382	CCL14;C-C motif chemokine 14
383	CCL15;C-C motif chemokine 15
384	CCL16;C-C motif chemokine 16
385	CCL17;C-C motif chemokine 17
386	CCL18;C-C motif chemokine 18
387	CCL19;C-C motif chemokine 19
388	CCL2;C-C motif chemokine 2
389	CCL20;C-C motif chemokine 20
390	CCL21;C-C motif chemokine 21
391	CCL22;C-C motif chemokine 22
392	CCL23;C-C motif chemokine 23
393	CCL24;C-C motif chemokine 24
394	CCL25;C-C motif chemokine 25
395	CCL26;C-C motif chemokine 26
396	CCL27;C-C motif chemokine 27
397	CCL28;C-C motif chemokine 28
398	CCL3;C-C motif chemokine 3
399	CCL4;C-C motif chemokine 4
400	CCL5;C-C motif chemokine 5
401	CCL7;C-C motif chemokine 7
402	CCL8;C-C motif chemokine 8
403	CCN1;CCN family member 1
404	CCN2;CCN family member 2
405	CCN3;CCN family member 3
406	CCN4;CCN family member 4
407	CCN5;CCN family member 5
408	CCND2;G1/S-specific cyclin-D2
409	CCNE1;G1/S-specific cyclin-E1
410	CCS;Copper chaperone for superoxide dismutase
411	CCT5;T-complex protein 1 subunit epsilon
412	CD101;Immunoglobulin superfamily member 2
413	CD109;CD109 antigen
414	CD14;Monocyte differentiation antigen CD14
415	CD160;CD160 antigen
416	CD163;Scavenger receptor cysteine-rich type 1 protein M130
417	CD164;Sialomucin core protein 24
418	CD164L2;CD164 sialomucin-like 2 protein
419	CD177;CD177 antigen
420	CD1C;T-cell surface glycoprotein CD1c
421	CD2;T-cell surface antigen CD2
422	CD200;OX-2 membrane glycoprotein
423	CD200R1;Cell surface glycoprotein CD200 receptor 1
424	CD207;C-type lectin domain family 4 member K
425	CD209;CD209 antigen
426	CD22;B-cell receptor CD22
427	CD226;CD226 antigen
428	CD244;Natural killer cell receptor 2B4
429	CD248;Endosialin
430	CD27;CD27 antigen
431	CD274;Programmed cell death 1 ligand 1
432	CD276;CD276 antigen
433	CD28;T-cell-specific surface glycoprotein CD28
434	CD2AP;CD2-associated protein
435	CD300A;CMRF35-like molecule 8
436	CD300C;CMRF35-like molecule 6
437	CD300E;CMRF35-like molecule 2
438	CD300LF;CMRF35-like molecule 1
439	CD300LG;CMRF35-like molecule 9
440	CD302;CD302 antigen
441	CD33;Myeloid cell surface antigen CD33
442	CD34;Hematopoietic progenitor cell antigen CD34
443	CD36;Platelet glycoprotein 4
444	CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
445	CD3D;T-cell surface glycoprotein CD3 delta chain
446	CD3E;T-cell surface glycoprotein CD3 epsilon chain
447	CD3G;T-cell surface glycoprotein CD3 gamma chain
448	CD4;T-cell surface glycoprotein CD4
449	CD40;Tumor necrosis factor receptor superfamily member 5
450	CD40LG;CD40 ligand
451	CD46;Membrane cofactor protein
452	CD48;CD48 antigen
453	CD5;T-cell surface glycoprotein CD5
454	CD55;Complement decay-accelerating factor
455	CD58;Lymphocyte function-associated antigen 3
456	CD59;CD59 glycoprotein
457	CD5L;CD5 antigen-like
458	CD6;T-cell differentiation antigen CD6
459	CD63;CD63 antigen
460	CD69;Early activation antigen CD69
461	CD7;T-cell antigen CD7
462	CD70;CD70 antigen
463	CD72;B-cell differentiation antigen CD72
464	CD74;HLA class II histocompatibility antigen gamma chain
465	CD79B;B-cell antigen receptor complex-associated protein beta chain
466	CD80;T-lymphocyte activation antigen CD80
467	CD82;CD82 antigen
468	CD83;CD83 antigen
469	CD84;SLAM family member 5
470	CD86;T-lymphocyte activation antigen CD86
471	CD8A;T-cell surface glycoprotein CD8 alpha chain
472	CD93;Complement component C1q receptor
473	CD99;CD99 antigen
474	CD99L2;CD99 antigen-like protein 2
475	CDA;Cytidine deaminase
476	CDAN1;Codanin-1
477	CDC123;Cell division cycle protein 123 homolog
478	CDC25A;M-phase inducer phosphatase 1
479	CDC26;Anaphase-promoting complex subunit CDC26
480	CDC27;Cell division cycle protein 27 homolog
481	CDC37;Hsp90 co-chaperone Cdc37
482	CDC42BPB;Serine/threonine-protein kinase MRCK beta
483	CDCP1;CUB domain-containing protein 1
484	CDH1;Cadherin-1
485	CDH15;Cadherin-15
486	CDH17;Cadherin-17
487	CDH2;Cadherin-2
488	CDH22;Cadherin-22
489	CDH23;Cadherin-23
490	CDH3;Cadherin-3
491	CDH4;Cadherin-4
492	CDH5;Cadherin-5
493	CDH6;Cadherin-6
494	CDHR1;Cadherin-related family member 1
495	CDHR2;Cadherin-related family member 2
496	CDHR5;Cadherin-related family member 5
497	CDK1;Cyclin-dependent kinase 1
498	CDK5RAP3;CDK5 regulatory subunit-associated protein 3
499	CDKL5;Cyclin-dependent kinase-like 5
500	CDKN1A;Cyclin-dependent kinase inhibitor 1
501	CDKN2D;Cyclin-dependent kinase 4 inhibitor D
502	CDNF;Cerebral dopamine neurotrophic factor
503	CDON;Cell adhesion molecule-related/down-regulated by oncogenes
504	CDSN;Corneodesmosin
505	CEACAM1;Carcinoembryonic antigen-related cell adhesion molecule 1
506	CEACAM16;Carcinoembryonic antigen-related cell adhesion molecule 16
507	CEACAM18;Carcinoembryonic antigen-related cell adhesion molecule 18
508	CEACAM19;Carcinoembryonic antigen-related cell adhesion molecule 19
509	CEACAM20;Carcinoembryonic antigen-related cell adhesion molecule 20
510	CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21
511	CEACAM3;Carcinoembryonic antigen-related cell adhesion molecule 3
512	CEACAM5;Carcinoembryonic antigen-related cell adhesion molecule 5
513	CEACAM6;Carcinoembryonic antigen-related cell adhesion molecule 6
514	CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8
515	CEBPA;CCAAT/enhancer-binding protein alpha
516	CEBPB;CCAAT/enhancer-binding protein beta
517	CELA2A;Chymotrypsin-like elastase family member 2A
518	CELA3A;Chymotrypsin-like elastase family member 3A
519	CELSR2;Cadherin EGF LAG seven-pass G-type receptor 2
520	CEMIP2;Cell surface hyaluronidase
521	CEND1;Cell cycle exit and neuronal differentiation protein 1
522	CENPF;Centromere protein F
523	CENPJ;Centromere protein J
524	CEP112;Centrosomal protein of 112 kDa
525	CEP152;Centrosomal protein of 152 kDa
526	CEP164;Centrosomal protein of 164 kDa
527	CEP170;Centrosomal protein of 170 kDa
528	CEP20;Centrosomal protein 20
529	CEP290;Centrosomal protein of 290 kDa
530	CEP350;Centrosome-associated protein 350
531	CEP43;Centrosomal protein 43
532	CEP85;Centrosomal protein of 85 kDa
533	CERT;Ceramide transfer protein
534	CES1;Liver carboxylesterase 1
535	CES2;Cocaine esterase
536	CES3;Carboxylesterase 3
537	CETN2;Centrin-2
538	CETN3;Centrin-3
539	CFB;Complement factor B
540	CFC1;Cryptic protein
541	CFD;Complement factor D
542	CFH;Complement factor H
543	CFHR2;Complement factor H-related protein 2
544	CFHR4;Complement factor H-related protein 4
545	CFHR5;Complement factor H-related protein 5
546	CFI;Complement factor I
547	CFP;Properdin
548	CGA;Glycoprotein hormones alpha chain
549	CGB3_CGB5_CGB8;Choriogonadotropin subunit beta 3
550	CGN;Cingulin
551	CGREF1;Cell growth regulator with EF hand domain protein 1
552	CHAC2;Glutathione-specific gamma-glutamylcyclotransferase 2
553	CHAD;Chondroadherin
554	CHCHD10;Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial
555	CHCHD6;MICOS complex subunit MIC25
556	CHEK2;Serine/threonine-protein kinase Chk2
557	CHGA;Chromogranin-A
558	CHGB;Secretogranin-1
559	CHI3L1;Chitinase-3-like protein 1
560	CHIT1;Chitotriosidase-1
561	CHL1;Neural cell adhesion molecule L1-like protein
562	CHM;Rab proteins geranylgeranyltransferase component A 1
563	CHMP1A;Charged multivesicular body protein 1a
564	CHMP6;Charged multivesicular body protein 6
565	CHP1;Calcineurin B homologous protein 1
566	CHRDL1;Chordin-like protein 1
567	CHRDL2;Chordin-like protein 2
568	CHRM1;Muscarinic acetylcholine receptor M1
569	CIAPIN1;Anamorsin
570	CILP;Cartilage intermediate layer protein 1
571	CINP;Cyclin-dependent kinase 2-interacting protein
572	CIRBP;Cold-inducible RNA-binding protein
573	CIT;Citron Rho-interacting kinase
574	CKAP4;Cytoskeleton-associated protein 4
575	CKB;Creatine kinase B-type
576	CKMT1A_CKMT1B;Creatine kinase U-type, mitochondrial
577	CLASP1;CLIP-associating protein 1
578	CLC;Galectin-10
579	CLEC10A;C-type lectin domain family 10 member A
580	CLEC11A;C-type lectin domain family 11 member A
581	CLEC12A;C-type lectin domain family 12 member A
582	CLEC14A;C-type lectin domain family 14 member A
583	CLEC1A;C-type lectin domain family 1 member A
584	CLEC1B;C-type lectin domain family 1 member B
585	CLEC2L;C-type lectin domain family 2 member L
586	CLEC3B;Tetranectin
587	CLEC4A;C-type lectin domain family 4 member A
588	CLEC4C;C-type lectin domain family 4 member C
589	CLEC4D;C-type lectin domain family 4 member D
590	CLEC4G;C-type lectin domain family 4 member G
591	CLEC4M;C-type lectin domain family 4 member M
592	CLEC5A;C-type lectin domain family 5 member A
593	CLEC6A;C-type lectin domain family 6 member A
594	CLEC7A;C-type lectin domain family 7 member A
595	CLGN;Calmegin
596	CLIC5;Chloride intracellular channel protein 5
597	CLINT1;Clathrin interactor 1
598	CLIP2;CAP-Gly domain-containing linker protein 2
599	CLMP;CXADR-like membrane protein
600	CLNS1A;Methylosome subunit pICln
601	CLPP;ATP-dependent Clp protease proteolytic subunit, mitochondrial
602	CLPS;Colipase
603	CLSPN;Claspin
604	CLSTN1;Calsyntenin-1
605	CLSTN2;Calsyntenin-2
606	CLSTN3;Calsyntenin-3
607	CLTA;Clathrin light chain A
608	CLU;Clusterin
609	CLUL1;Clusterin-like protein 1
610	CMC1;COX assembly mitochondrial protein homolog
611	CMIP;C-Maf-inducing protein
612	CNDP1;Beta-Ala-His dipeptidase
613	CNGB3;Cyclic nucleotide-gated cation channel beta-3
614	CNP;2',3'-cyclic-nucleotide 3'-phosphodiesterase
615	CNPY2;Protein canopy homolog 2
616	CNPY4;Protein canopy homolog 4
617	CNST;Consortin
